Image,Group,Condition,SubID,Threshold,SegAbbr,Grouping,Domain,SegVol,Mean,Median,StDev,Q1,Q3,Min,Max,ActVol,FAV,CoGx,CoGy,CoGz,sCoGx,sCoGy,sCoGz
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,OT,e_Striatum/pallidum_D,STR/PAL,2628.0,2.36,2.16,0.5,2.03,2.57,1.83,4.0,47,0.018,62.5,56.81,14.9,54.54,59.84,13.45
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,IPN,j_Midbrain_F,MB,370.0,2.61,2.39,0.73,2.06,3.05,1.84,4.76,24,0.065,61.94,102.38,25.44,61.29,101.78,24.94
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,PG,p_Pons_B,HB,904.0,2.22,2.11,0.36,1.96,2.41,1.85,3.35,34,0.038,61.88,106.06,15.56,63.91,105.61,17.12
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,CS,j_Midbrain_H,MB,662.0,2.54,2.51,0.59,2.08,2.76,1.82,4.3,30,0.045,62.77,112.11,29.06,63.48,111.14,29.28
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,PRN,p_Pons_D,HB,5748.0,2.44,2.28,0.62,2.05,2.64,1.82,6.97,219,0.038,63.35,116.64,24.93,65.54,117.0,24.53
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,RN,j_Midbrain_C,MB,314.0,2.78,2.26,0.9,2.14,2.98,1.92,4.77,9,0.029,62.56,102.88,33.97,67.92,106.74,34.34
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,VTA,j_Midbrain_B,MB,771.0,2.39,2.3,0.48,2.05,2.49,1.84,3.58,15,0.019,62.64,98.68,27.61,65.26,100.75,26.23
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,SNc,j_Midbrain_D,MB,674.0,2.51,2.48,0.53,1.99,2.82,1.82,3.89,21,0.031,62.49,100.79,29.92,72.89,101.0,31.47
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,SI,e_Striatum/pallidum_H,STR/PAL,3013.0,2.42,2.2,0.63,2.0,2.63,1.82,5.52,140,0.046,61.47,68.93,17.84,57.54,67.62,16.0
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,ACB,e_Striatum/pallidum_B,STR/PAL,5021.0,2.38,2.19,0.55,1.96,2.61,1.81,4.79,123,0.024,59.53,59.81,21.47,64.9,60.25,22.42
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,CP,e_Striatum/pallidum_A,STR/PAL,22254.0,2.48,2.33,0.6,2.03,2.72,1.81,6.33,777,0.035,60.84,69.98,37.28,58.74,70.99,37.24
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,DEC,x_Cerebellum_B,CB,1141.0,2.37,2.29,0.43,2.02,2.67,1.83,3.39,50,0.044,64.24,137.34,55.96,66.5,137.43,53.6
